id,weight
0,1703.5762
1,3300.548
2,6768.3643
3,6912.3965
4,1187.2196
5,1564.804
6,1896.1327
7,1786.7664
8,429.78
9,566.3289
10,1290.4408
11,1228.7811
12,1598.0363
13,723.1523
14,1762.4121
15,1071.3317
16,3314.2095
17,4530.2305
18,2281.1638
19,1470.194
20,4502.2295
21,764.1094
22,1225.8109
23,710.72345
24,1559.3566
25,311.7801
26,435.355
27,2620.7139
28,1925.4526
29,453.17725
30,1760.3501
31,1556.8063
32,293.9031
33,4301.6865
34,757.16364
35,1465.8185
36,5587.3286
37,6979.029
38,312.27505
39,348.3719
40,171.74463
41,3382.1272
42,6563.834
43,402.1493
44,1259.009
45,1327.9802
46,705.524
47,1958.9042
48,2825.9626
49,9724.463
50,3614.3289
51,1069.1987
52,2294.4717
53,158.03688
54,2924.1985
55,426.19595
56,513.84515
57,5049.0483
58,1096.05
59,657.68994
60,2237.552
61,1552.5288
62,1607.0084
63,3490.116
64,750.4106
65,1893.9832
66,6106.6387
67,1688.1897
68,2301.248
69,344.6857
70,2530.9978
71,479.64096
72,2967.199
73,2096.548
74,11476.718
75,7550.135
76,2741.754
77,4225.706
78,2232.7566
79,2186.1855
80,1403.8273
81,557.763
82,1096.6024
83,1320.6637
84,4339.4385
85,3817.2249
86,177.04482
87,1504.7742
88,2659.7664
89,4527.749
90,171.94107
91,1868.9401
92,1899.449
93,1649.8752
94,3727.7002
95,1310.741
96,2197.9304
97,3483.8818
98,81.00067
99,2355.396
100,855.11127
101,4277.6807
102,1171.6597
103,50.59669
104,438.14667
105,6169.172
106,444.11426
107,4005.1455
108,3413.0242
109,720.6464
110,1908.1934
111,2316.7617
112,425.53903
113,7764.5923
114,1883.4485
115,2504.4724
116,1423.7861
117,2335.886
118,690.019
119,5219.1826
120,852.33905
121,448.0415
122,3718.9343
123,831.91833
124,1472.7133
125,2092.6855
126,3660.107
127,3288.2292
128,74.27046
129,547.95233
130,2174.5103
131,2127.5647
132,2692.296
133,415.65805
134,2444.911
135,738.3742
136,1476.969
137,523.7748
138,235.46783
139,5334.1357
140,2069.7642
141,3093.76
142,2518.0256
143,1722.2645
144,4774.9004
145,12581.152
146,450.64545
147,4064.3374
148,1644.3124
149,1535.0167
150,527.84283
151,7423.7725
152,1434.2368
153,1348.3789
154,1116.0793
155,848.80035
156,2599.5315
157,3279.74
158,134.48114
159,1955.9521
160,1885.3914
161,1120.5431
162,4308.0986
163,9562.137
164,1126.253
165,3877.788
166,1587.5209
167,1425.21
168,5948.9927
169,9500.526
170,423.79343
171,598.27625
172,6730.117
173,1309.7401
174,301.3164
175,5644.706
176,1895.7161
177,1224.701
178,3262.3013
179,7395.0933
180,2389.6235
181,758.3759
182,616.48895
183,1787.9303
184,3223.528
185,1116.8801
186,8541.965
187,800.20703
188,571.68256
189,5004.405
190,1040.6826
191,4149.206
192,4977.358
193,5941.1567
194,1537.3053
195,318.5794
196,6555.157
197,494.77167
198,872.8039
199,554.80945
200,262.82318
201,1471.1165
202,7335.224
203,197.94005
204,192.30034
205,471.30594
206,2465.2585
207,1551.3319
208,592.3816
209,651.61896
210,3527.6438
211,5464.2495
212,2813.2715
213,2256.431
214,7180.4106
215,3045.8306
216,2103.7144
217,2892.307
218,1265.715
219,1195.3367
220,3252.0862
221,84.47414
222,53.960945
223,973.4032
224,46.31641
225,1869.0597
226,7587.768
227,307.35278
228,4388.3115
229,1491.4586
230,3436.9531
231,116.08217
232,10190.002
233,2510.255
234,919.73175
235,472.00403
236,2714.855
237,2119.9604
238,216.89854
239,2520.2117
240,377.23212
241,2649.2014
242,1664.2246
243,3586.9307
244,1520.2921
245,617.5867
246,1301.851
247,3266.8635
248,2121.84
249,1729.9269
250,3951.0354
251,386.1865
252,335.44666
253,174.11272
254,1407.7488
255,1379.9473
256,989.3271
257,3041.9314
258,2531.441
259,479.995
260,1480.7081
261,1076.2792
262,3942.575
263,5747.3276
264,1991.7551
265,927.88916
266,2608.2537
267,6606.883
268,1478.7542
269,551.7226
270,4552.5674
271,3042.6528
272,839.85895
273,7689.4873
274,4280.719
275,2256.2466
276,1645.5217
277,613.05347
278,615.4104
279,2234.5728
280,2633.6995
281,6720.6846
282,683.3874
283,4197.924
284,3177.634
285,1929.0741
286,1107.801
287,2770.3765
288,1658.3191
289,5686.081
290,4063.0059
291,1139.8387
292,10045.142
293,1083.0359
294,1264.2021
295,3086.5288
296,1292.4921
297,8293.403
298,3723.234
299,7734.172
300,1426.7535
301,1154.92
302,2065.4902
303,1158.4417
304,7432.2236
305,8102.0747
306,7455.9263
307,1839.3678
308,3102.7996
309,952.05035
310,1659.368
311,1526.5684
312,9514.375
313,1625.553
314,569.99396
315,10966.191
316,3515.6128
317,1827.6746
318,983.31274
319,55.941696
320,212.37334
321,312.71747
322,6379.099
323,1451.5156
324,3901.499
325,1556.2257
326,1143.0582
327,995.33075
328,1417.5016
329,464.68225
330,1842.8207
331,2878.6035
332,815.2754
333,1615.9602
334,2095.3157
335,111.39061
336,1414.0306
337,1133.8744
338,1075.9493
339,3448.4417
340,550.42755
341,1970.739
342,3663.5198
343,6545.5664
344,97.828926
345,254.2683
346,4845.204
347,2339.263
348,914.5109
349,1157.4
350,1887.664
351,1307.0616
352,7362.677
353,3948.7915
354,2048.6814
355,1186.1482
356,13198.539
357,2227.1265
358,3268.9087
359,2087.2969
360,631.294
361,2879.2546
362,2265.319
363,2729.888
364,1718.8857
365,2868.108
366,351.9345
367,1281.63
368,383.4014
369,950.5846
370,3081.21
371,759.05994
372,3695.9783
373,42.92464
374,53.58476
375,888.0531
376,700.3586
377,119.37297
378,1050.1289
379,3281.4048
380,2752.759
381,8036.791
382,7518.597
383,2534.5276
384,9837.281
385,2291.5115
386,2442.2537
387,3285.3037
388,11058.15
389,963.474
390,2073.1228
391,1241.2869
392,542.0561
393,1229.9386
394,5816.531
395,2877.911
396,449.20074
397,1657.1475
398,485.09326
399,316.98175
400,783.8226
401,1175.3857
402,1116.6067
403,2035.8353
404,2651.4739
405,7888.85
406,1627.0435
407,1260.8313
408,4734.506
409,2990.6907
410,401.05563
411,3439.4756
412,757.8498
413,5505.2153
414,965.99664
